"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
1	313722	"Angela"	"                                                | nhits | proportion |                                                                        features
------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 26005 | 0.083      |                                                                                
 |--organelle                                   | 51    | 0.00016    |                                                                                
 |   |--plastid                                 | 4     | 1.3e-05    |                                                                                
 |   '--mitochondria                            | 47    | 0.00015    |                                                                                
 '--repeat                                      | 25954 | 0.083      |                                                                                
     '--mobile_element                          | 25954 | 0.083      |                                                                                
         |--Class_I                             | 25953 | 0.083      |                                                                                
         |   '--LTR                             | 25953 | 0.083      | LTR/PBS                                                                        
         |       |--Ty1_copia                   | 25945 | 0.083      |                                                                                
         |       |   |--Ale                     | 43    | 0.00014    | 1 (Ty1-INT), 5 (Ty1-PROT), 1 (Ty1-RH), 36 (Ty1-RT),                            
         |       |   |--Alesia                  | 1     | 3.2e-06    | 1 (Ty1-RH),                                                                    
         |       |   |--Angela                  | 24427 | 0.078      | 3467 (Ty1-GAG), 6044 (Ty1-INT), 1845 (Ty1-PROT), 3777 (Ty1-RH), 9294 (Ty1-RT), 
         |       |   |--Bianca                  | 3     | 9.6e-06    | 1 (Ty1-RH), 2 (Ty1-RT),                                                        
         |       |   |--Bryco                   | 3     | 9.6e-06    | 3 (Ty1-INT),                                                                   
         |       |   |--Lyco                    | 1     | 3.2e-06    | 1 (Ty1-INT),                                                                   
         |       |   |--Gymco-II                | 20    | 6.4e-05    | 20 (Ty1-INT),                                                                  
         |       |   |--Ikeros                  | 589   | 0.0019     | 30 (Ty1-GAG), 293 (Ty1-INT), 21 (Ty1-PROT), 6 (Ty1-RH), 239 (Ty1-RT),          
         |       |   |--Ivana                   | 616   | 0.002      | 586 (Ty1-INT), 6 (Ty1-RH), 24 (Ty1-RT),                                        
         |       |   |--SIRE                    | 19    | 6.1e-05    | 18 (Ty1-INT), 1 (Ty1-RH),                                                      
         |       |   |--TAR                     | 90    | 0.00029    | 8 (Ty1-INT), 67 (Ty1-PROT), 5 (Ty1-RH), 10 (Ty1-RT),                           
         |       |   |--Tork                    | 120   | 0.00038    | 37 (Ty1-INT), 29 (Ty1-RH), 54 (Ty1-RT),                                        
         |       |   '--Ty1-outgroup            | 13    | 4.1e-05    | 12 (Ty1-INT), 1 (Ty1-RT),                                                      
         |       '--Ty3_gypsy                   | 8     | 2.6e-05    |                                                                                
         |           |--non-chromovirus         | 4     | 1.3e-05    |                                                                                
         |           |   '--OTA                 | 4     | 1.3e-05    |                                                                                
         |           |       |--Athila          | 1     | 3.2e-06    | 1 (Ty3-RT),                                                                    
         |           |       '--Tat             | 3     | 9.6e-06    |                                                                                
         |           |           '--Retand      | 3     | 9.6e-06    | 2 (Ty3-RH), 1 (Ty3-RT),                                                        
         |           '--chromovirus             | 4     | 1.3e-05    |                                                                                
         |               '--CRM                 | 4     | 1.3e-05    | 2 (Ty3-INT), 2 (Ty3-RT),                                                       
         '--Class_II                            | 1     | 3.2e-06    |                                                                                
             '--Subclass_1                      | 1     | 3.2e-06    |                                                                                
                 '--TIR                         | 1     | 3.2e-06    |                                                                                
                     '--MuDR_Mutator            | 1     | 3.2e-06    | 1 (MuDR-TPase),                                                                "	NA	"4,9,10,11,12,13,14,15,16,18,19,20,27,29,30,48,50,52,3,6,8,7,17"
2	68069	"repeat"	"                                                | nhits | proportion |                                                                                    features
------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 60633 | 0.89       |                                                                                            
 '--repeat                                      | 60633 | 0.89       |                                                                                            
     |--satellite                               | 58178 | 0.85       |                                                                                            
     '--mobile_element                          | 2455  | 0.036      |                                                                                            
         '--Class_I                             | 2455  | 0.036      |                                                                                            
             '--LTR                             | 2455  | 0.036      |                                                                                            
                 '--Ty3_gypsy                   | 2455  | 0.036      |                                                                                            
                     '--chromovirus             | 2455  | 0.036      |                                                                                            
                         '--CRM                 | 2455  | 0.036      | 178 (Ty3-CHDCR), 399 (Ty3-GAG), 874 (Ty3-INT), 212 (Ty3-PROT), 329 (Ty3-RH), 463 (Ty3-RT), "	"1 - Putative satellites (high confidence)
2 - Putative satellites (high confidence)"	"2,22,1"
3	46829	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 46085 | 0.98       |         
 '--organelle                                   | 46085 | 0.98       |         
     |--plastid                                 | 45531 | 0.97       |         
     '--mitochondria                            | 554   | 0.012      |         "	NA	"39,41,51,57,60,63,70,79,83,92,37,34"
4	28762	"45S_rDNA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 15683 | 0.54       |         
 |--organelle                                   | 262   | 0.0091     |         
 |   |--plastid                                 | 6     | 0.00021    |         
 |   '--mitochondria                            | 256   | 0.0089     |         
 '--repeat                                      | 15421 | 0.54       |         
     '--rDNA                                    | 15421 | 0.54       |         
         '--45S_rDNA                            | 15421 | 0.54       |         
             |--18S_rDNA                        | 5467  | 0.19       |         
             |--25S_rDNA                        | 9472  | 0.33       |         
             '--5.8S_rDNA                       | 482   | 0.017      |         "	NA	"42,54,24,26"
5	25238	"SIRE"	"                                                | nhits | proportion |                                                                     features
---------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4678  | 0.19       |                                                                             
 '--repeat                                      | 4678  | 0.19       |                                                                             
     '--mobile_element                          | 4678  | 0.19       |                                                                             
         '--Class_I                             | 4678  | 0.19       |                                                                             
             '--LTR                             | 4678  | 0.19       | LTR/PBS                                                                     
                 '--Ty1_copia                   | 4678  | 0.19       |                                                                             
                     |--Ale                     | 63    | 0.0025     | 1 (Ty1-INT), 60 (Ty1-RH), 2 (Ty1-RT),                                       
                     |--Angela                  | 1     | 4e-05      | 1 (Ty1-RH),                                                                 
                     |--Ivana                   | 268   | 0.011      | 99 (Ty1-GAG), 5 (Ty1-INT), 163 (Ty1-RH), 1 (Ty1-RT),                        
                     |--SIRE                    | 4332  | 0.17       | 338 (Ty1-GAG), 1017 (Ty1-INT), 273 (Ty1-PROT), 772 (Ty1-RH), 1932 (Ty1-RT), 
                     |--TAR                     | 1     | 4e-05      | 1 (Ty1-INT),                                                                
                     '--Tork                    | 13    | 0.00052    | 13 (Ty1-INT),                                                               "	NA	"25,49,21"
6	22709	"Athila"	"                                                | nhits | proportion |                                                                    features
--------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 3594  | 0.16       |                                                                            
 |--organelle                                   | 2     | 8.8e-05    |                                                                            
 |   '--plastid                                 | 2     | 8.8e-05    |                                                                            
 '--repeat                                      | 3592  | 0.16       |                                                                            
     '--mobile_element                          | 3592  | 0.16       |                                                                            
         '--Class_I                             | 3592  | 0.16       |                                                                            
             '--LTR                             | 3592  | 0.16       | LTR/PBS                                                                    
                 |--Ty1_copia                   | 7     | 0.00031    |                                                                            
                 |   |--Ivana                   | 6     | 0.00026    | 6 (Ty1-GAG),                                                               
                 |   '--Tork                    | 1     | 4.4e-05    | 1 (Ty1-RT),                                                                
                 '--Ty3_gypsy                   | 3585  | 0.16       |                                                                            
                     '--non-chromovirus         | 3585  | 0.16       |                                                                            
                         '--OTA                 | 3585  | 0.16       |                                                                            
                             |--Athila          | 3582  | 0.16       | 564 (Ty3-GAG), 1179 (Ty3-INT), 331 (Ty3-PROT), 591 (Ty3-RH), 917 (Ty3-RT), 
                             '--Tat             | 3     | 0.00013    |                                                                            
                                 '--Retand      | 3     | 0.00013    | 3 (Ty3-INT),                                                               "	NA	"31,66,78,23"
7	20196	"satellite"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 21766 | 1.1        |             
 |--organelle                                   | 1569  | 0.078      |             
 |   '--plastid                                 | 1569  | 0.078      |             
 '--repeat                                      | 20197 | 1          |             
     |--satellite                               | 20196 | 1          |             
     '--mobile_element                          | 1     | 5e-05      |             
         '--Class_I                             | 1     | 5e-05      |             
             '--LTR                             | 1     | 5e-05      |             
                 '--Ty3_gypsy                   | 1     | 5e-05      |             
                     '--chromovirus             | 1     | 5e-05      |             
                         '--Reina               | 1     | 5e-05      | 1 (Ty3-RT), "	"5 - Putative satellites (high confidence)"	"5"
8	13189	"Athila"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1463  | 0.11       |                                                                           
 |--organelle                                   | 3     | 0.00023    |                                                                           
 |   '--mitochondria                            | 3     | 0.00023    |                                                                           
 '--repeat                                      | 1460  | 0.11       |                                                                           
     '--mobile_element                          | 1460  | 0.11       |                                                                           
         '--Class_I                             | 1460  | 0.11       |                                                                           
             '--LTR                             | 1460  | 0.11       |                                                                           
                 |--Ty1_copia                   | 1     | 7.6e-05    |                                                                           
                 |   '--Ale                     | 1     | 7.6e-05    | 1 (Ty1-INT),                                                              
                 '--Ty3_gypsy                   | 1459  | 0.11       |                                                                           
                     |--non-chromovirus         | 1458  | 0.11       |                                                                           
                     |   '--OTA                 | 1458  | 0.11       |                                                                           
                     |       |--Athila          | 1457  | 0.11       | 113 (Ty3-GAG), 517 (Ty3-INT), 125 (Ty3-PROT), 288 (Ty3-RH), 414 (Ty3-RT), 
                     |       '--Tat             | 1     | 7.6e-05    |                                                                           
                     |           '--TatII       | 1     | 7.6e-05    | 1 (Ty3-INT),                                                              
                     '--chromovirus             | 1     | 7.6e-05    |                                                                           
                         '--Reina               | 1     | 7.6e-05    | 1 (Ty3-INT),                                                              "	NA	"68,44,53"
9	10996	"Retand"	"                                                | nhits | proportion |                                                                               features
-------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1947  | 0.18       |                                                                                       
 '--repeat                                      | 1947  | 0.18       |                                                                                       
     '--mobile_element                          | 1947  | 0.18       |                                                                                       
         '--Class_I                             | 1947  | 0.18       |                                                                                       
             |--LTR                             | 1946  | 0.18       |                                                                                       
             |   |--Ty1_copia                   | 1     | 9.1e-05    |                                                                                       
             |   |   '--Ivana                   | 1     | 9.1e-05    | 1 (Ty1-INT),                                                                          
             |   '--Ty3_gypsy                   | 1945  | 0.18       |                                                                                       
             |       |--non-chromovirus         | 1915  | 0.17       |                                                                                       
             |       |   '--OTA                 | 1915  | 0.17       |                                                                                       
             |       |       |--Athila          | 11    | 0.001      | 9 (Ty3-GAG), 2 (Ty3-INT),                                                             
             |       |       '--Tat             | 1904  | 0.17       |                                                                                       
             |       |           |--Ogre        | 93    | 0.0085     | 1 (Ty3-GAG), 58 (Ty3-INT), 1 (Ty3-PROT), 5 (Ty3-RH), 18 (Ty3-RT), 10 (Ty3-aRH),       
             |       |           '--Retand      | 1811  | 0.16       | 97 (Ty3-GAG), 716 (Ty3-INT), 1 (Ty3-PROT), 349 (Ty3-RH), 416 (Ty3-RT), 232 (Ty3-aRH), 
             |       '--chromovirus             | 30    | 0.0027     |                                                                                       
             |           |--CRM                 | 1     | 9.1e-05    | 1 (Ty3-RT),                                                                           
             |           '--Reina               | 29    | 0.0026     | 29 (Ty3-RT),                                                                          
             '--pararetrovirus                  | 1     | 9.1e-05    | 1 (PARA-RT),                                                                          "	NA	"71,28"
10	9556	"MuDR_Mutator"	"                                                | nhits | proportion |           features
-----------------------------------------------------------------------------------------
All                                             | 246   | 0.026      |                   
 |--organelle                                   | 3     | 0.00031    |                   
 |   '--plastid                                 | 3     | 0.00031    |                   
 '--repeat                                      | 243   | 0.025      |                   
     '--mobile_element                          | 243   | 0.025      |                   
         |--Class_I                             | 1     | 1e-04      |                   
         |   '--LTR                             | 1     | 1e-04      |                   
         |       '--Ty1_copia                   | 1     | 1e-04      |                   
         |           '--Ale                     | 1     | 1e-04      | 1 (Ty1-INT),      
         '--Class_II                            | 242   | 0.025      |                   
             '--Subclass_1                      | 242   | 0.025      |                   
                 '--TIR                         | 242   | 0.025      |                   
                     '--MuDR_Mutator            | 242   | 0.025      | 242 (MuDR-TPase), "	NA	"64,146,36"
