Supercluster	Clusters
1	4,9,10,11,12,13,14,15,16,18,19,20,27,29,30,48,50,52,3,6,8,7,17
2	2,22,1
3	39,41,51,57,60,63,70,79,83,92,37,34
4	42,54,24,26
5	25,49,21
6	31,66,78,23
7	5
8	68,44,53
9	71,28
10	64,146,36
11	59,46
12	164,33
13	32
14	65,138,218,58,107
15	80,40
16	35
17	38
18	43
19	45
20	47
21	55
22	56
23	61
24	62
25	67
26	69
27	196,72
28	131,77
29	129,233,82
30	73
31	74
32	75
33	76
34	140,85
35	81
36	366,84
37	86
38	87
39	88
40	89
41	283,95,143
42	90
43	158171373132127
44	91
45	93
46	94
47	96
48	97
49	434100
50	98
